=== Heap Fragmentation Log ===
Date/Time: 2026-01-17 12:10:14
Timestamp: 389699 ms
Current Heap: free=70192, largestBlock=23540 (33.5%), freeBlocks=20
Baseline: largestBlock=233460 (set 388593 ms ago)
Degradation: 209920 bytes (89.9% loss from baseline)

=== Recent Operations (last 300) ===
[  388856] WebClientModule:346  | WebClient::accessResource      | heap= 71080, largest= 23540 (33.1%)
[  388857] WebClientModule:346  | WebClient::accessResource      | heap= 71064, largest= 23540 (33.1%)
[  388857] CalendarModule.:94   | CalendarModule::queueData      | heap= 71160, largest= 23540 (33.1%)
[  388857] WebClientModule:346  | WebClient::accessResource      | heap= 70984, largest= 23540 (33.2%)
[  388857] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 71160, largest= 23540 (33.1%)
[  388858] WebClientModule:346  | WebClient::accessResource      | heap= 71080, largest= 23540 (33.1%)
[  388858] WeatherModule.c:138  | WeatherModule::queueData       | heap= 71160, largest= 23540 (33.1%)
[  388858] WebClientModule:346  | WebClient::accessResource      | heap= 70484, largest= 23540 (33.4%)
[  388859] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 71160, largest= 23540 (33.1%)
[  388860] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 71208, largest= 23540 (33.1%)
[  388860] DartsRankingMod:448  | DartsRankingModule::processData | heap= 71208, largest= 23540 (33.1%)
[  388861] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 71208, largest= 23540 (33.1%)
[  388861] CalendarModule.:112  | CalendarModule::processData    | heap= 71208, largest= 23540 (33.1%)
[  388861] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 71208, largest= 23540 (33.1%)
[  388861] WeatherModule.c:204  | WeatherModule::processData     | heap= 71208, largest= 23540 (33.1%)
[  388862] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 71208, largest= 23540 (33.1%)
[  388872] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 71208, largest= 23540 (33.1%)
[  388873] WebClientModule:346  | WebClient::accessResource      | heap= 70676, largest= 23540 (33.3%)
[  388873] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 71208, largest= 23540 (33.1%)
[  388873] WebClientModule:346  | WebClient::accessResource      | heap= 71160, largest= 23540 (33.1%)
[  388873] WebClientModule:346  | WebClient::accessResource      | heap= 71144, largest= 23540 (33.1%)
[  388874] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 71208, largest= 23540 (33.1%)
[  388874] WebClientModule:346  | WebClient::accessResource      | heap= 71128, largest= 23540 (33.1%)
[  388874] WebClientModule:346  | WebClient::accessResource      | heap= 71112, largest= 23540 (33.1%)
[  388875] CalendarModule.:94   | CalendarModule::queueData      | heap= 71208, largest= 23540 (33.1%)
[  388875] WebClientModule:346  | WebClient::accessResource      | heap= 71032, largest= 23540 (33.1%)
[  388875] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 71208, largest= 23540 (33.1%)
[  388876] WebClientModule:346  | WebClient::accessResource      | heap= 71128, largest= 23540 (33.1%)
[  388876] WeatherModule.c:138  | WeatherModule::queueData       | heap= 71208, largest= 23540 (33.1%)
[  388876] WebClientModule:346  | WebClient::accessResource      | heap= 70532, largest= 23540 (33.4%)
[  388876] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 71208, largest= 23540 (33.1%)
[  388878] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 71208, largest= 23540 (33.1%)
[  388878] DartsRankingMod:448  | DartsRankingModule::processData | heap= 71208, largest= 23540 (33.1%)
[  388878] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 71208, largest= 23540 (33.1%)
[  388878] CalendarModule.:112  | CalendarModule::processData    | heap= 71208, largest= 23540 (33.1%)
[  388879] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 71208, largest= 23540 (33.1%)
[  388879] WeatherModule.c:204  | WeatherModule::processData     | heap= 71208, largest= 23540 (33.1%)
[  388879] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 71208, largest= 23540 (33.1%)
[  388890] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 71208, largest= 23540 (33.1%)
[  388891] WebClientModule:346  | WebClient::accessResource      | heap= 70676, largest= 23540 (33.3%)
[  388891] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 71208, largest= 23540 (33.1%)
[  388891] WebClientModule:346  | WebClient::accessResource      | heap= 71160, largest= 23540 (33.1%)
[  388891] WebClientModule:346  | WebClient::accessResource      | heap= 71144, largest= 23540 (33.1%)
[  388892] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 71208, largest= 23540 (33.1%)
[  388892] WebClientModule:346  | WebClient::accessResource      | heap= 71128, largest= 23540 (33.1%)
[  388892] WebClientModule:346  | WebClient::accessResource      | heap= 71112, largest= 23540 (33.1%)
[  388893] CalendarModule.:94   | CalendarModule::queueData      | heap= 71208, largest= 23540 (33.1%)
[  388893] WebClientModule:346  | WebClient::accessResource      | heap= 71032, largest= 23540 (33.1%)
[  388893] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 71208, largest= 23540 (33.1%)
[  388893] WebClientModule:346  | WebClient::accessResource      | heap= 71128, largest= 23540 (33.1%)
[  388894] WeatherModule.c:138  | WeatherModule::queueData       | heap= 71208, largest= 23540 (33.1%)
[  388894] WebClientModule:346  | WebClient::accessResource      | heap= 70532, largest= 23540 (33.4%)
[  388894] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 71208, largest= 23540 (33.1%)
[  388896] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 71208, largest= 23540 (33.1%)
[  388896] DartsRankingMod:448  | DartsRankingModule::processData | heap= 71208, largest= 23540 (33.1%)
[  388896] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 71208, largest= 23540 (33.1%)
[  388896] CalendarModule.:112  | CalendarModule::processData    | heap= 71208, largest= 23540 (33.1%)
[  388897] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 71208, largest= 23540 (33.1%)
[  388897] WeatherModule.c:204  | WeatherModule::processData     | heap= 71208, largest= 23540 (33.1%)
[  388897] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 71208, largest= 23540 (33.1%)
[  389072] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 71208, largest= 23540 (33.1%)
[  389072] WebClientModule:346  | WebClient::accessResource      | heap= 70676, largest= 23540 (33.3%)
[  389073] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 71208, largest= 23540 (33.1%)
[  389073] WebClientModule:346  | WebClient::accessResource      | heap= 71160, largest= 23540 (33.1%)
[  389073] WebClientModule:346  | WebClient::accessResource      | heap= 71144, largest= 23540 (33.1%)
[  389073] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 71208, largest= 23540 (33.1%)
[  389074] WebClientModule:346  | WebClient::accessResource      | heap= 71128, largest= 23540 (33.1%)
[  389074] WebClientModule:346  | WebClient::accessResource      | heap= 71112, largest= 23540 (33.1%)
[  389074] CalendarModule.:94   | CalendarModule::queueData      | heap= 71208, largest= 23540 (33.1%)
[  389075] WebClientModule:346  | WebClient::accessResource      | heap= 71032, largest= 23540 (33.1%)
[  389075] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 71208, largest= 23540 (33.1%)
[  389075] WebClientModule:346  | WebClient::accessResource      | heap= 71128, largest= 23540 (33.1%)
[  389075] WeatherModule.c:138  | WeatherModule::queueData       | heap= 71208, largest= 23540 (33.1%)
