=== Heap Fragmentation Log ===
Date/Time: 2026-01-17 12:06:12
Timestamp: 148075 ms
Current Heap: free=76888, largestBlock=33780 (43.9%), freeBlocks=19
Baseline: largestBlock=233460 (set 146969 ms ago)
Degradation: 199680 bytes (85.5% loss from baseline)

=== Recent Operations (last 300) ===
[  147605] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 33736, largest=  9204 (27.3%)
[  147605] WebClientModule:346  | WebClient::accessResource      | heap= 33656, largest=  9204 (27.3%)
[  147606] WebClientModule:346  | WebClient::accessResource      | heap= 33640, largest=  9204 (27.4%)
[  147606] CalendarModule.:94   | CalendarModule::queueData      | heap= 33736, largest=  9204 (27.3%)
[  147606] WebClientModule:346  | WebClient::accessResource      | heap= 33560, largest=  9204 (27.4%)
[  147607] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 33736, largest=  9204 (27.3%)
[  147607] WebClientModule:346  | WebClient::accessResource      | heap= 33656, largest=  9204 (27.3%)
[  147607] WeatherModule.c:138  | WeatherModule::queueData       | heap= 33736, largest=  9204 (27.3%)
[  147608] WebClientModule:346  | WebClient::accessResource      | heap= 33060, largest=  9204 (27.8%)
[  147608] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 33736, largest=  9204 (27.3%)
[  147609] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 33736, largest=  9204 (27.3%)
[  147610] DartsRankingMod:448  | DartsRankingModule::processData | heap= 33736, largest=  9204 (27.3%)
[  147610] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 33736, largest=  9204 (27.3%)
[  147610] CalendarModule.:112  | CalendarModule::processData    | heap= 33736, largest=  9204 (27.3%)
[  147610] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 33736, largest=  9204 (27.3%)
[  147611] WeatherModule.c:204  | WeatherModule::processData     | heap= 33736, largest=  9204 (27.3%)
[  147611] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 33736, largest=  9204 (27.3%)
[  147659] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 77604, largest= 33780 (43.5%)
[  147660] WebClientModule:346  | WebClient::accessResource      | heap= 77072, largest= 33780 (43.8%)
[  147660] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 77604, largest= 33780 (43.5%)
[  147660] WebClientModule:346  | WebClient::accessResource      | heap= 77556, largest= 33780 (43.6%)
[  147660] WebClientModule:346  | WebClient::accessResource      | heap= 77540, largest= 33780 (43.6%)
[  147661] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 77604, largest= 33780 (43.5%)
